UserID,Nome do solicitante,Especialidade do solicitante,retorno
ID1,Camilo partezani helito ,Ortopedia,
ID2,Denis Pajecki,Cirurgia Gastro/Bariatrica,
ID3,Daniel Giansante Abud,Neurorradiologia Intervencionista,
ID4,Augusto Ishy ,Cirurgia Toracica ,
ID5,Gustavo Gattas,Cirurgia Oncologica,
ID6,Fernando de Barros,Cirurgia Gastro/Bariatrica,
ID7,Alexandre Amado Elias ,Cirurgia Gastro/Bariatrica,
ID8,Vinicius Lamboglia Miceli,Ortopedia,
ID9,Rodrigo Lopes ,Cirurgia Oncologica,
ID10,Ronaldo de Oliveira Andrade ,Cirurgia geral ,
ID11,Ronaldo de Oliveira Andrade ,Cirurgia Oncologica,
ID12,Taisa Davaus,Radiologia Pediatrica ,
ID13,Nathalia Sundin Palmeira de Oliveira,Ortopedia,
ID14,Marcelo Campos,Ortopedia,
ID15,Denis Pajecki,Cirurgia Gastro/Bariatrica,
ID18,Juliano Sbalchiero,Ortopedia,
ID19,Leonardo Rodrigues Campos,Reumatologista,
ID20,Robertha Nakamura,Dermatologia,
ID21,Marcelo Braganca ,Ortopedia,
ID22,Luiza DAlmeida,Dermatologista,
ID23,Luna Azulay,Dermatologia,
ID24,Nathalia Sundin,Ortopedia,
ID25,Felipe Soeiro,Dermatologia,
ID26,Michelle Azevedo Gomes,Cirurgiao de cabeca e pescoco ,
ID27,Cassio Silva Trevizani,Ortopedia,
ID28,Rafael Ritter,Ortopedia,
ID30,Waldomiro Barbosa Teixeira ,Cirurgia Oncol�gica,
ID31,Rodrigo ZUCCON ,Ortopedia,
ID32,Cassio Silva Trevizani,Ortopedia,
ID33,Gustavo Gattas,Cirurgia Toracica,
ID34,Camilo partezani helito ,Ortopedia,
ID35,Rodrigo Cacada Trofo Surjan,Cirurgia Gastro/Bariatrica,
ID36,Maria Antonia Santos,Dermatologia,
